timestamp,user_id,username,department,resource_id,resource_name,resource_type,action,is_successful,is_anomaly,is_admin
2025-04-27 12:09:52.093320,7,owenskimberly,Engineering,33,database-play-238,Database,Create,True,False,
2025-04-27 17:41:52.093320,11,emilysnyder,Engineering,38,storage-cold-627,Storage,Delete,True,False,
2025-04-27 13:44:52.093320,0,conniegreer,IT,37,functions-two-378,Functions,Read,True,False,
2025-04-27 10:57:52.093320,2,jamiecarr,Sales,72,appservice-stage-182,AppService,Read,True,False,
2025-04-27 13:15:52.093320,19,karensavage,IT,41,storage-from-896,Storage,Update,True,False,
2025-04-27 14:26:52.093320,17,emolina,Marketing,34,appservice-yet-402,AppService,Update,True,False,
2025-04-27 11:21:52.093320,20,williamwoods,IT,44,appservice-major-808,AppService,Read,True,False,
2025-04-27 17:46:52.093320,37,robertmaxwell,IT,82,functions-organization-844,Functions,Create,True,False,
2025-04-27 09:55:52.093320,27,josephspears,Marketing,13,database-meeting-438,Database,Read,True,False,
2025-04-27 17:05:52.093320,16,kennedysamantha,IT,77,appservice-plant-121,AppService,Delete,True,False,
2025-04-27 22:05:52.093320,6,brivera,Sales,41,storage-from-896,Storage,Update,True,False,
2025-04-27 23:06:52.093320,40,amyterry,Marketing,85,appservice-child-158,AppService,Read,True,False,
2025-04-27 06:27:52.093320,38,johnproctor,Marketing,1,functions-particular-583,Functions,Read,True,False,
2025-04-27 08:58:52.093320,38,johnproctor,Marketing,92,functions-process-289,Functions,Read,True,False,
2025-04-27 16:20:52.093320,34,mayoderrick,Sales,6,appservice-state-697,AppService,Delete,True,False,
2025-04-27 14:55:52.093320,18,briannafox,Engineering,24,vm-charge-568,VM,Create,True,False,
2025-04-27 16:14:52.093320,8,emily25,IT,37,functions-two-378,Functions,Delete,False,False,
2025-04-27 03:36:52.093320,9,brandon27,Engineering,62,database-factor-284,Database,Delete,True,False,
2025-04-27 09:32:52.093320,38,johnproctor,Marketing,18,functions-money-576,Functions,Delete,True,False,
2025-04-27 09:50:52.093320,6,brivera,Sales,5,vm-early-913,VM,Create,True,False,
2025-04-27 21:26:52.093320,23,garrettchristine,Marketing,27,storage-possible-820,Storage,Delete,True,False,
2025-04-27 13:55:52.093320,5,christopher97,Finance,96,storage-change-199,Storage,Delete,False,False,
2025-04-27 05:51:52.093320,26,ellisana,IT,48,database-wall-832,Database,Create,True,False,
2025-04-27 02:04:52.093320,39,znorton,Finance,17,appservice-forget-876,AppService,Update,True,False,
2025-04-27 01:09:52.093320,29,staceyyang,Engineering,72,appservice-stage-182,AppService,Delete,True,False,
2025-04-27 17:36:52.093320,44,nicholasbartlett,Finance,9,database-rich-943,Database,Create,True,False,
2025-04-27 00:36:52.093320,26,ellisana,IT,66,database-future-734,Database,Delete,True,False,
2025-04-27 07:30:52.093320,21,richard80,Sales,29,vm-person-678,VM,Delete,True,False,
2025-04-27 00:37:52.093320,22,joshuagarrison,Engineering,36,storage-large-638,Storage,Delete,True,False,
2025-04-27 15:42:52.093320,16,kennedysamantha,IT,8,database-wonder-917,Database,Read,True,False,
2025-04-27 06:21:52.093320,4,stephencruz,Marketing,76,appservice-surface-710,AppService,Delete,True,False,
2025-04-27 21:21:52.093320,48,kgordon,Engineering,61,functions-per-602,Functions,Read,True,False,
2025-04-27 20:23:52.093320,44,nicholasbartlett,Finance,54,vm-behavior-399,VM,Read,True,False,
2025-04-27 05:18:52.093320,11,emilysnyder,Engineering,71,appservice-article-428,AppService,Delete,True,False,
2025-04-27 13:03:52.093320,28,claytonmercer,IT,14,appservice-establish-158,AppService,Delete,True,False,
2025-04-27 22:12:52.093320,8,emily25,IT,9,database-rich-943,Database,Read,True,False,
2025-04-27 14:57:52.093320,46,rvalencia,Engineering,66,database-future-734,Database,Update,True,False,
2025-04-27 03:09:52.093320,20,williamwoods,IT,9,database-rich-943,Database,Read,True,False,
2025-04-27 04:54:52.093320,0,conniegreer,IT,96,storage-change-199,Storage,Update,True,False,
2025-04-27 13:40:52.093320,39,znorton,Finance,66,database-future-734,Database,Read,True,False,
2025-04-27 02:08:52.093320,3,carrie28,Engineering,31,vm-star-138,VM,Read,True,False,
2025-04-27 23:35:52.093320,37,robertmaxwell,IT,91,functions-institution-261,Functions,Delete,True,False,
2025-04-27 12:26:52.093320,24,shortmelissa,Marketing,96,storage-change-199,Storage,Read,True,False,
2025-04-27 17:25:52.093320,31,merrittjoseph,Marketing,8,database-wonder-917,Database,Delete,False,False,
2025-04-27 04:44:52.093320,29,staceyyang,Engineering,95,database-ten-199,Database,Read,True,False,
2025-04-27 07:17:52.093320,16,kennedysamantha,IT,24,vm-charge-568,VM,Create,True,False,
2025-04-27 13:15:52.093320,34,mayoderrick,Sales,4,functions-of-137,Functions,Create,True,False,
2025-04-27 05:20:52.093320,5,christopher97,Finance,97,storage-material-269,Storage,Update,True,False,
2025-04-27 14:00:52.093320,33,taylorwhite,Finance,6,appservice-state-697,AppService,Read,True,False,
2025-04-28 17:42:52.093320,17,emolina,Marketing,63,vm-traditional-417,VM,Update,True,False,
2025-04-28 13:53:52.093320,43,rosejessica,Marketing,19,storage-yeah-751,Storage,Delete,True,False,
2025-04-28 16:00:52.093320,7,owenskimberly,Engineering,40,functions-month-481,Functions,Read,True,False,
2025-04-28 17:08:52.093320,29,staceyyang,Engineering,1,functions-particular-583,Functions,Create,True,False,
2025-04-28 16:15:52.093320,14,sandrawright,Finance,76,appservice-surface-710,AppService,Create,True,False,
2025-04-28 13:26:52.093320,3,carrie28,Engineering,61,functions-per-602,Functions,Update,True,False,
2025-04-28 11:37:52.093320,24,shortmelissa,Marketing,77,appservice-plant-121,AppService,Update,True,False,
2025-04-28 09:19:52.093320,18,briannafox,Engineering,86,database-article-540,Database,Update,True,False,
2025-04-28 11:45:52.093320,47,brownsteven,Engineering,66,database-future-734,Database,Read,True,False,
2025-04-28 10:45:52.093320,35,darrell56,Sales,40,functions-month-481,Functions,Delete,True,False,
2025-04-28 10:54:52.093320,49,alexanderdaugherty,IT,8,database-wonder-917,Database,Create,True,False,
2025-04-28 17:38:52.093320,4,stephencruz,Marketing,94,storage-work-59,Storage,Delete,True,False,
2025-04-28 13:38:52.093320,49,alexanderdaugherty,IT,49,storage-national-371,Storage,Delete,True,False,
